SpeciesName,HerbariumCode,Source,Collector,RecordNumber,CollectionDay,CollectionMonth,CollectionYear,Country,Admin1,Admin2,Admin3,Locality,Longitude,Latitude,CoordUncertainty,LocationNotes,EcologyNotes,AnalysisNotes,Remove,CountyLevelOnly
Hamamelis virginiana,CM,CM Collection Manager,"Wilkinson, E.",NA,22,5,1836,USA,OHIO,Richland,NA,NA,-82.542715,40.774167,20206.65052,Mansfield,woods,NA,NA,1
Alnus incana,CM,CM Collection Manager,"Wolle, J.",NA,,NA,1838,USA,PENNSYLVANIA,Northampton,NA,NA,-75.307447,40.752791,17457.4895,"Bethlehem, Northampton-Lehigh Co.",along stream,NA,NA,1
Alnus serrulata,CM,CM Collection Manager,"Wolle, J.",NA,,NA,1838,USA,PENNSYLVANIA,Northampton,NA,NA,-75.307447,40.752791,17457.4895,"Bethlehem, Northampton-Lehigh Co.",along stream,NA,NA,1
Alnus serrulata,CM,CM Collection Manager,"Wolle, J.",NA,,NA,1838,USA,PENNSYLVANIA,Northampton,NA,NA,-75.307447,40.752791,17457.4895,"Bethlehem, Northampton-Lehigh Co.",along creek,NA,NA,1
Hamamelis virginiana,CM,CM Collection Manager,"Rossbach, G.B.",NA,18,10,1852,USA,WEST VIRGINIA,Ritchie,NA,NA,-81.066317,39.177112,19303.61396,"N fork of Hughes River, SW of Cairo","small hardwoods, slope above river",NA,NA,1
Hamamelis virginiana,CM,CM Collection Manager,ACH; FWM,NA,7,7,1854,USA,NEW YORK,Orange,NA,NA,-74.306252,41.40241,25868.30331,West Point,,NA,NA,1
Hamamelis virginiana,BKL,bbg_herb_scrape.R,"Brainerd, G. B.",319443,NA,11,1864,USA,NEW YORK,Rensselaer,,West Troy,-73.513845,42.710421,23192.1685,NA,NA,NA,NA,1
Fraxinus americana L.,MO,GBIF Search,NA,100194437,22,10,1865,USA,MISSOURI,Jefferson,NA,Kimmswick,-90.36,38.37,NA,NA,NA,NA,NA,0
Rhamnus alnifolia,CM,CM Collection Manager,"Orlady, M.E.",NA,30,4,1868,USA,PENNSYLVANIA,Huntingdon,NA,NA,-77.968584,40.422321,26852.73021,"McCahans Swamp, Birmingham",,NA,NA,1
Hamamelis virginiana L.,F,GBIF Search,H. H. Babcock,33408,9,10,1869,USA,ILLINOIS,Cook,NA,Glencoe,-87.75,42.1333,NA,NA,NA,NA,NA,0
Alnus incana subsp. rugosa,OS,http://herbarium.osu.edu/,"Beardslee, H.C.",283066,0,0,1871,USA,OHIO,Lake,Painesville,,-81.392643,41.924116,13694.86539,,,NA,NA,1
Fraxinus americana,CM,CM Collection Manager,"Commons, A.",NA,1,9,1872,USA,DELAWARE,New Castle,NA,NA,-75.644132,39.575915,18746.67766,Centerville,,NA,NA,1
Alnus incana (L.) Moench ssp. rugosa (Du Roi) Clausen,UConn,GBIF Search,F.W. Hall,CONN00017281,8,10,1873,USA,CONNECTICUT,New Haven,NA,New Haven,-72.92805,41.30805,20000,NA,NA,NA,NA,0
Alnus rugosa,YPM,GBIF Search,G. W. Hawes,YPM YU 056249,4,1,1873,USA,CONNECTICUT,New Haven,NA,New Haven,-72.9246,41.3113,NA,NA,NA,NA,NA,0
Alnus rugosa,YPM,GBIF Search,F. W. Hall,YPM YU 056242,10,8,1873,USA,CONNECTICUT,New Haven,NA,Orange,-73.0272,41.2826,NA,NA,NA,NA,NA,0
Alnus serrulata (Aiton) Willd.,UConn,GBIF Search,Franklin Wilson Hall,CONN00017363,8,4,1873,USA,CONNECTICUT,New Haven,NA,Hamden,-72.92222,41.39777,NA,NA,NA,NA,NA,0
Hamamelis virginiana,YPM,GBIF Search,G. W. Hawes,YU.052235,15,10,1873,USA,CONNECTICUT,New Haven,NA,New Haven,-72.9246,41.3113,NA,NA,NA,NA,NA,0
Hamamelis virginiana,YPM,GBIF Search,G. W. Hawes,YPM YU 052235,15,10,1873,USA,CONNECTICUT,New Haven,NA,New Haven,-72.9316,41.407,NA,NA,NA,NA,NA,0
Fraxinus americana,CM,CM Collection Manager,Morong,NA,NA,NA,1874,USA,MASSACHUSETTS,Essex,NA,NA,-70.865107,42.642711,20151.38088,Ipswich,dry streams,NA,NA,1
Fraxinus americana,CM,CM Collection Manager,"Patterson, B.H.",NA,9,6,1874,USA,PENNSYLVANIA,Cambria,NA,NA,-78.715284,40.494127,23822.03155,Johnstown,,NA,NA,1
Hamamelis virginiana,CM,CM Collection Manager,"Patterson, B.H.",NA,24,7,1874,USA,PENNSYLVANIA,Cambria,NA,NA,-78.715284,40.494127,23822.03155,Johnstown,,NA,NA,1
Alnus serrulata,CM,CM Collection Manager,"Patterson, B.H.",NA,14,7,1875,USA,PENNSYLVANIA,Cambria,NA,NA,-78.715284,40.494127,23822.03155,Johnstown,,NA,NA,1
Hamamelis virginiana,CM,CM Collection Manager,"Wolle, J.",NA,5,5,1875,USA,PENNSYLVANIA,Huntingdon,NA,NA,-77.968584,40.422321,26852.73021,1st bridge of Birmingham,,NA,NA,1
Fraxinus americana,OS,http://herbarium.osu.edu/,"James, J.F.",346533,4,6,1876,USA,OHIO,Clermont,Loveland,,-84.149614,39.052084,19305.95043,,,NA,NA,1
Hamamelis virginiana,OS,http://herbarium.osu.edu/,"James, J.F.",351280,1,10,1876,USA,OHIO,Clermont,Loveland,,-84.149614,39.052084,19305.95043,,,NA,NA,1
Fraxinus americana,OS,http://herbarium.osu.edu/,"James, D.L.",346532,0,0,1876,USA,OHIO,Clinton,,,-83.814542,39.414041,18355.57498,,,NA,NA,1
