SpeciesName,HerbariumCode,Source,Collector,RecordNumber,CollectionDay,CollectionMonth,CollectionYear,Country,Admin1,Admin2,Admin3,Locality,Longitude,Latitude,CoordUncertainty,LocationNotes,EcologyNotes,AnalysisNotes,Remove,CountyLevelOnly
Alnus incana,WIS,wisc_herb_scrape.R,"Miller, Regis B.",00001147MAD,20,9,1967,USA,Wisconsin,Adams,Easton,Along Rt. 13 [N of Easton],0,0,,,quot;Speckled Alderquot;.  Shrub; 15-20 ft. ht. in fruit- aments and catkins.,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Lewis, D.W.",00001148MAD,13,4,1963,USA,Wisconsin,Iowa,Dodgeville,Governor Dodge State Park [N of Dodgeville],0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Nee, Mike",00001149MAD,5,9,1971,USA,Wisconsin,Sawyer,,"Along West Fork of Chippewa River, Chippewa Flowage",0,0,,,"Shrub 5 m. tall, in clumps.  Common.  MADw 25475.",,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Nee, Mike",00001150MAD,31,1,1970,USA,Wisconsin,Richland,,Woods near Pine River,0,0,,,"Largest stem in a clump, 20 ft. tall.  MADw 9502.",,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hansen, Bruce F.",00001151MAD,31,5,1975,USA,Wisconsin,Sawyer,,"0.5 mile N of Hwy 70; ca 8 miles NE of Winter, near Island Lake",0,0,,,MADw 39341.,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koelling, Alfred C.",ISM92362,7,6,1981,USA,Wisconsin,Iron,,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hess, W.",MOR37750,18,9,1979,USA,Wisconsin,Waushara,,8 mi. e. of Wautoma on WI Hwy.21,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Swink, Floyd A.",MOR51469,21,5,1947,USA,Wisconsin,Sawyer,Exeland,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hess, W.",MOR56355,28,4,1984,USA,Wisconsin,Marquette,Oxford,3 mi. NW of Oxford,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Packard, Sarah",MOR96321,24,6,1990,USA,Wisconsin,Washburn,,"Long Lake,near lakeshore public",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Packard, Sarah",MOR96325,14,4,1990,USA,Wisconsin,Jackson,,along s. branch Beef River,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Packard, Sarah",MOR96326,14,4,1990,USA,Wisconsin,Jackson,,"along Townline Rd.,off County B",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Davidson, Donald W.",SUWS011014,15,6,1989,USA,Wisconsin,Douglas,Superior,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Thomson, John W., Jr.",SUWS011016,27,6,1942,USA,Wisconsin,Douglas,Superior,Road to Wisconsin Point,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hendrickson, Sue",SUWS011017,25,6,1970,USA,Wisconsin,Douglas,,"3.5 miles S of the jct. of CTH A and CTH B, 3 blocks E on Tri-Lakes Rd.; about 12.5 miles S of Superior [Near Amnicom Lake]",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Dabydeen, Simon",SUWS011018,15,9,1973,USA,Wisconsin,Douglas,Superior,"Barker's Island, sand soil deposit in the Superior harbor",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",SUWS011020,27,6,1970,USA,Wisconsin,Bayfield,Drummond,"Perch Lake Campground area, Chequamegon National Forest; ca. 5 miles N of Drummond",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,Team 6,SUWS011021,13,8,1975,USA,Wisconsin,Ashland,Outer Island,Flora of the Apostle Islands - Northland College funded through CEPA,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Brost, Mike",SUWS011022,NA,NA,NA,USA,Wisconsin,Douglas,Superior,Superior Municipal Forest,0,0,,,"Tree, 30 feet, diameter 5 inches. [Most likely collected in Fall of 1994 - only date provided (12-13-94) is date of identification].",,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Ojanen, Joanne M.",SUWS011023,13,9,1994,USA,Wisconsin,Douglas,Superior,"Superior Municipal Forest on Billings Drive, at foot of Dwights Point between Kimballs Bay and Pokegama River",0,0,,,"Tree, 25 feet, smooth brown bark, green leaves, green catkins",,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hall, Norma",SUWS011026,28,6,1938,USA,Wisconsin,Douglas,Superior,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Moder, Jennifer A.",SUWS013271,21,9,1999,USA,Wisconsin,Douglas,,Kimmes-Tobin Mitigated Wetlands,0,0,,,"Leaves serrate, with irregular teeth, catkins relatively small, winter buds stalked.",,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Morris, Casey",SUWS014612,25,9,2001,USA,Wisconsin,Douglas,Superior,Superior Municipal Forest,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Gervais, Tom",SUWS014712,2,10,2001,USA,Wisconsin,Douglas,Superior,Superior Municipal Forest,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Larson, Bradley B.",SUWS014755,25,9,2001,USA,Wisconsin,Douglas,Superior,[Superior],0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Anderson, Derek S.",SUWS014786,18,9,2001,USA,Wisconsin,Douglas,Superior,Billings Park Boat Landing,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Tanton, Corey",SUWS016831,16,2,2002,USA,Wisconsin,Douglas,Superior,Superior Municipal Forest,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Larson, Bradley B.",SUWS016881,10,2,2002,USA,Wisconsin,Douglas,Superior,Near St. Louis Bay,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Watten, Joshua",SUWS017013,27,3,2001,USA,Wisconsin,Douglas,Superior,UWS [University of Wisconsin - Superior] heating plant [T19N - original in error],0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Anderson, Derek S.",SUWS017499,30,6,2002,USA,Wisconsin,Douglas,Amnicon Falls,Amnicon Falls State Park - Plot 2,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Martorano, Paul",UWEC00170,12,6,1968,USA,Wisconsin,Marathon,Weston,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Catto, Scot G.",UWEC00171,NA,NA,NA,USA,Wisconsin,Washburn,,7 mi. W of Minong,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Borman, Susan Cray",UWEC00172,27,7,1985,USA,Wisconsin,Chippewa,,W of the access road to Bob Howe Lake,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Sommer, Richard",UWEC00173,18,7,1972,USA,Wisconsin,Portage,Sharon,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Tomesh, Bob",UWEC00174,4,7,1969,USA,Wisconsin,Barron,Bear Lake,Along Sucker Creek,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Wolniakowski, Krys",UWEC00175,2,10,1976,USA,Wisconsin,Eau Claire,,Bank of Elk Creek Lake,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Henrickson, James",UWEC00176,21,5,1961,USA,Wisconsin,Chippewa,,Northern shore of Lake Hallie,0,0,,,Frequent.,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Lorentz, Dennis",UWEC00177,4,7,1973,USA,Wisconsin,Barron,,[Co. added by editor],0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Sommer, Richard",UWEC00178,8,7,1972,USA,Wisconsin,Portage,Dewey,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hillery, Allen",UWEC00179,20,6,1973,USA,Wisconsin,Chippewa,Birch Creek,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"O'Connell, Jerome",UWEC00180,13,10,1961,USA,Wisconsin,Chippewa,Chippewa Falls,Found along the bank of the Chippewa River about 1 mi. up from river from the Northern States Power Co. in Chippewa Falls,0,0,,,Tree about 15' high,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fuerstenau, D.",UWEC00181,22,9,1979,USA,Wisconsin,Eau Claire,Eau Claire,Lowes Creek Bottoms just S of Eau Claire; Washington Twp.,0,0,,,Small tree.,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Smith, Julie M.",UWEC00182,29,5,1978,USA,Wisconsin,Oneida,Rhinelander,Wisconsin River Bank,0,0,,,6'.,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Smith, Julie M.",UWEC00183,29,5,1978,USA,Wisconsin,Oneida,Rhinelander,Wisconsin River Bank,0,0,,,5'.,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Albrecht, Debbie",UWEC00184,10,9,1975,USA,Wisconsin,Eau Claire,Eau Claire,"University of Wisconsin- Eau Claire campus, along stream bank of Mini Creek in front of Nursing Building",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Rogers, S.",UWEC00185,18,9,1983,USA,Wisconsin,Adams,Friendship,"Roche-a-cree Creek [Roche A Cri], CTH J, 5 mi. W of Friendship",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Guthman, Wayne",UWEC00186,18,5,1969,USA,Wisconsin,Chippewa,Ruby,,0,0,,,,,,1
