"SpeciesName","HerbariumCode","Source","Collector","RecordNumber","CollectionDay","CollectionMonth","CollectionYear","Country","Admin1","Admin2","Admin3","Locality","Longitude","Latitude","CoordUncertainty","LocationNotes","EcologyNotes","AnalysisNotes","Remove","CountyLevelOnly"
"Hamamelis virginiana","CLM","From Curator","F.S. Earle","041369",24,3,1897,"United States","AL","Lee","Auburn",NA,-85.353048,32.604064,22379.991526778,NA,"Part of specimen collected October 2, 1897","",0,1
"Alnus serrulata","CLM","From Curator","Delzie Demaree","063822",4,10,1932,"United States","AR","Howard",NA,"Near Silver Springs:",-93.990988,34.083179,22027.5873153772,NA,"Small stream.","",0,1
"Hamamelis virginiana","CLM","From Curator","C.D. Mell","062232",13,12,1906,"United States","FL","Walton","De Funiak Springs",NA,-86.176614,30.631211,29247.8617136127,NA,NA,"",0,1
"Alnus serrulata","CLM","From Curator","Philip L. Cobb","063821",13,2,1888,"United States","GA","Cobb","Marietta",NA,-84.574166,33.93994,16731.1309376156,NA,"Along streams.","",0,1
"Hamamelis virginiana","CLM","From Curator","Lucius M. Cobb","062234",3,10,1889,"United States","IL","Cook","Lake View",NA,-87.645455,41.894294,27916.7458925739,NA,NA,"",0,1
"Fraxinus americana","CLM","From Curator","Lucius M. Cobb","051365",20,5,1889,"United States","IL","Cook","Riverside",NA,-87.645455,41.894294,27916.7458925739,NA,NA,"",0,1
"Alnus incana","CLM","From Curator","W.S. Moffatt,M.D.","063814",30,5,1891,"United States","IN","Lake","Miller",NA,-87.374337,41.472239,20281.8400159084,NA,"Low thickets.","",0,1
"Fraxinus americana","CLM","From Curator","H.G. Jesup","032557",30,6,1869,"United States","MA","Franklin",NA,"Sunderland Cliffs",-72.591655,42.583791,24011.0817645676,NA,NA,"",0,1
"Hamamelis virginiana","CLM","From Curator","H.G. Jesup","041375",NA,10,1871,"United States","MA","Hampshire","Amherst",NA,-72.663694,42.339459,20848.963044645,NA,NA,"",0,1
"Hamamelis virginiana","CLM","From Curator","Sue A. Thompson","029434",7,10,1984,"United States","MD","Garrett",NA,"Savage River State Forest",-79.269416,39.529871,23097.2698636963,"2.1 miles southeast of the Pennsylvania/Maryland border on U.S. Rt.40. Altitude ca. 850m.  Area of clear cutting with herbaceous regrowth; Fagus, Acer, Quercus in drier areas","Shrub to small tree up to 7m tall, common; flowers greenish-yellow; fruits green becoming brown","",0,1
"Rhamnus alnifolia","CLM","From Curator","Timothy L. Walters","069199",14,8,2002,"United States","MI","Schoolcraft","Doyle Twp.",NA,-86.199352,46.020758,31075.5522799143,"Wet, emergent meadow; In powerline right-of-way; 20 feet east of Kelly  Road, 4600 feet north of US Rt. 2; GPS  10m; T42N, R14W, SW 1/4 of SW  1/4 of sec 28; 460010.7N, 0860426.6W;","Locally Common; Associates: Salix bebbiana, Carex flava, Potentilla  fruticosa, Euthamia graminifolia, Thelypteris palustris, Aster puniceus,  A. novae-angliae.  No. 8497","",0,1
"Rhamnus alnifolia","CLM","From Curator","Charles K. Dodge","033495",21,5,1897,"United States","MI","St. Clair","Port Huron",NA,-82.668913,42.928803,24383.3235367783,NA,NA,"",0,1
"Alnus incana","CLM","From Curator","John M. Holzinger","063827",NA,6,1886,"United States","MN","Winona",NA,NA,-91.776708,43.982268,22721.2584363836,NA,"Staminate flowers collected in May, 1886. Syn.=Alnus rugosa  (Du Roi) Spreng.","",0,1
"Alnus incana","CLM","From Curator","F.W. Anderson","063813",NA,NA,1888,"United States","MT","Deer Lodge",NA,NA,-113.139108,46.099059,24641.6226026775,NA,"On the same sheet as HE-63812. Syn.=Alnus incana var. virescens","",0,1
"Alnus incana","CLM","From Curator","H.C. Beardslee","063828",NA,8,1891,"United States","NC","Swain",NA,"Andrews Bald:",-83.465614,35.568849,20863.6064501935,"Altitude 6000 feet","Syn.=Alnus rugosa  (Du Roi) Spreng.","",0,1
