"species","continent","country","adm1","adm2","locality","lat","lon","coordUncertaintyM","alt","institution","collection","catalogNumber","basisOfRecord","collector","earliestDateCollected","latestDateCollected","gbifNotes","downloadDate","maxElevationM","minElevationM","maxDepthM","minDepthM","ISO2","cloc"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Nipissing Distr. (ON)","Cameron Township  North River, 1 km northwest of North River Lake  off Brent (Cedar Lake) Road.",46.1,-78.417,NA,NA,"CMN","CAN","CAN 528505","specimen","Shchepanek, Michael J.; Dugal, Albert W.; Ley, Linda M.","1987-08-18","1987-08-18","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Cameron Township  North River, 1 km northwest of North River Lake  off Brent (Cedar Lake) Road., Ontario, Nipissing Distr. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Muskoka Distr. Mun. (ON)","Georgian Bay Islands National Park. Tonch Point  Beausoleil Island",44.867,-79.85,NA,NA,"CMN","CAN","CAN 416271","specimen","Thaler, G.R.","1970-07-03","1970-07-03","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Georgian Bay Islands National Park. Tonch Point  Beausoleil Island, Ontario, Muskoka Distr. Mun. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Leeds and Grenville United Co.","Cranberry Lake  N shore Cranberry Lake  1 km SW Wolford Centre",44.8,-75.817,NA,NA,"CMN","CAN","CAN 490646","specimen","Schueler, Frederick W.","1979-08-06","1979-08-06","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Cranberry Lake  N shore Cranberry Lake  1 km SW Wolford Centre, Ontario, Leeds and Grenville United Co., Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Muskoka Distr. Mun. (ON)","Georgian Bay Islands National Park. Frying Pan Bay  Beausoleil Island",44.9,-79.85,NA,NA,"CMN","CAN","CAN 416316","specimen","Thaler, G.R.","1970-07-13","1970-07-13","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Georgian Bay Islands National Park. Frying Pan Bay  Beausoleil Island, Ontario, Muskoka Distr. Mun. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Stormont, Dundas and Glengarry United Co.","Winchester Bog  3.5 miles N.W. of Winchester  Mountain Township.",45.1,-75.433,NA,NA,"CMN","CAN","CAN 498625","specimen","Shchepanek, Michael J.; Dugal, Albert W.; Campbell, Carol A.","1985-05-16","1985-05-16","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Winchester Bog  3.5 miles N.W. of Winchester  Mountain Township., Ontario, Stormont, Dundas and Glengarry United Co., Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Algoma Distr. (ON)","Batchawana River",47,-84.75,NA,NA,"CMN","CAN","CAN 41175","specimen","Taylor, Thomas M.C.; Hosie, R.C.","1935-07-31","1935-07-31","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Batchawana River, Ontario, Algoma Distr. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","New Brunswick","Charlotte Co. (NB)","Dumbarton Parish  Bog off Hwy 3, 2 km NE of Lawrence Station.  Loc. No. 7.",45.433,-67.167,NA,NA,"CMN","CAN","CAN 521133","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1984-08-12","1984-08-12","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Dumbarton Parish  Bog off Hwy 3, 2 km NE of Lawrence Station.  Loc. No. 7., New Brunswick, Charlotte Co. (NB), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Québec","Mun. Rég. de Cté du Bas-Richelieu","Ile De Grace  Iles de Berthier-Sorel  Iles du fleuve St-Laurent",46.083,-73.033,NA,NA,"CMN","CAN","CAN 451466","specimen","Champagne, J.","1980-07-02","1980-07-02","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Ile De Grace  Iles de Berthier-Sorel  Iles du fleuve St-Laurent, Québec, Mun. Rég. de Cté du Bas-Richelieu, Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Algoma Distr. (ON)","Carp River",47,-84.75,NA,NA,"CMN","CAN","CAN 41174","specimen","Taylor, Thomas M.C.; Hosie, R.C.","1935-07-29","1935-07-29","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Carp River, Ontario, Algoma Distr. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Québec","Mun. Rég. de Cté de Pontiac","Little Limerick Island  (Ottawa River)  1 mile SW of Portage-du-fort  Litchfield Township.",45.583,-76.667,NA,NA,"CMN","CAN","CAN 530026","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1977-07-21","1977-07-21","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Little Limerick Island  (Ottawa River)  1 mile SW of Portage-du-fort  Litchfield Township., Québec, Mun. Rég. de Cté de Pontiac, Canada, North America"
