SpeciesName,HerbariumCode,Source,Collector,RecordNumber,CollectionDay,CollectionMonth,CollectionYear,Country,Admin1,Admin2,Admin3,Locality,Longitude,Latitude,CoordUncertainty,LocationNotes,EcologyNotes,AnalysisNotes,Remove,CountyLevelOnly
Frangula alnus,BKL,http://www.bbg.org/the-herbarium/ailanthus/search.php 'Scientific name contains'=frangula,"Glenn, Steven D.",40507,1,7,1995,United States,Connecticut,Fairfield,Ridgefield,"Silver Spring Rd, E side swamp, S area",-73.5,41.25,,,,,,0
Frangula alnus,BKL,http://www.bbg.org/the-herbarium/ailanthus/search.php 'Scientific name contains'=frangula,"Glenn, Steven D.",301929,1,6,2005,United States,Connecticut,Fairfield,Shelton,Indian Well State Park,-73.11666667,41.33333333,,,,,,0
Frangula alnus,CONN,IPANE,Edwin Hubert Eames,,28,6,1928,United States,Connecticut,Fairfield,Redding,,-73.3933,41.3044,,,,,,0
Frangula alnus,CONN,IPANE,Edwin Hubert Eames,,18,9,1940,United States,Connecticut,Fairfield,Fairfield,Southport,-73.2839,41.1364,,,,,,0
Frangula alnus,CONN,IPANE,Edwin Hubert Eames,,1,10,1947,United States,Connecticut,Fairfield,Fairfield,,-73.2724,41.1757,,,,,,0
Frangula alnus,CONN,IPANE,Gordon C. Tucker,,25,6,1975,United States,Connecticut,New London,Stonington,Barn Island Hunting Area,-71.8667,41.3419,,,,,,0
Frangula alnus,CONN,IPANE,Ronald A. Pfeffer,,9,10,1975,United States,Connecticut,Hartford,Farmington,,-72.7939,41.7114,,Batterson City Park,,,,0
Frangula alnus,CONN,IPANE,S. J. Barlow,,9,10,1975,United States,Connecticut,Hartford,Farmington,,-72.7939,41.7114,,Batterson City Park,,,,0
Frangula alnus,CONN,IPANE,Diane Carter,,13,9,1979,United States,Connecticut,Tolland,Mansfield,Storrs,-72.254,41.8118,,Hillel house,,,,0
Frangula alnus,CONN,IPANE,Kerry Barringer,,1,6,1979,United States,Connecticut,Tolland,Mansfield,Storrs,-72.2543,41.8121,,behind synagogue,,,,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,30,6,1989,United States,Connecticut,Hartford,Manchester,,-72.5247,41.7753,,,,,,0
Frangula alnus,CONN,IPANE,Juliana Barrett,,28,8,1989,United States,Connecticut,Fairfield,Norwalk,,-73.4228,41.1293,,Pitney Bowes property,,,,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,10,6,1989,United States,Connecticut,Fairfield,Redding,Huckleberry Swamp,-73.4371,41.3068,,Audubon Preserve,,,,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,10,7,1989,United States,Connecticut,Fairfield,Ridgefield,Great Swamp,-73.4853,41.2897,,,Shrub- 2.5 m tall,,,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,20,8,1989,United States,Connecticut,Fairfield,Stamford,,-73.5487,41.136,,Stamford Connecticut Stamford Connecticut USA,,,,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,30,6,1990,United States,Connecticut,Litchfield,Norfolk,,-73.2222,41.9692,,Great Mountain Forest,,,,0
Frangula alnus,CONN,IPANE,Nina B. Lichtenstein,,30,6,1990,United States,Connecticut,Fairfield,Norwalk,,-73.4202,41.0939,,Property of Edward Child,,,,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,1,6,1991,United States,Connecticut,Tolland,Mansfield,Storrs,-72.2498,41.8104,,Uconn,,,,0
Frangula alnus,CONN,IPANE,Nancy Murray,,23,9,1992,United States,Connecticut,Litchfield,Sharon,,-73.4491,41.8605,,,,,,0
Frangula alnus,CONN,IPANE,Steve Glenn,,11,7,1995,United States,Connecticut,Fairfield,Ridgefield,,-73.5008,41.252,,"Silver Spring Road, E side swamp, S area",8' shrub; 710' elevation,,,0
Frangula alnus,CONN,IPANE,Steve Glenn,,8,6,1995,United States,Connecticut,Fairfield,Stratford,Lordship,-73.1125,41.1539,,along Wood End Rd,6' shrub; 10' elevation,,,0
